2026/06/25 20:35:37 [MattPC/ykTcgFBTZb-000001] "GET http://localhost:8081/uploads/img-1fa477c33410f22b.webp HTTP/1.1" from [::1]:55148 - 200 519976B in 145.6371ms
2026/06/25 20:35:45 [MattPC/ykTcgFBTZb-000002] "GET http://localhost:8081/health HTTP/1.1" from [::1]:59870 - 200 2B in 0s
2026/06/25 20:35:51 [MattPC/ykTcgFBTZb-000003] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:52042 - 200 257B in 2.5312ms
2026/06/25 20:35:51 [MattPC/ykTcgFBTZb-000004] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:52042 - 200 257B in 1.1187ms
2026/06/25 20:35:52 [MattPC/ykTcgFBTZb-000005] "GET http://localhost:8081/api/admin/dashboard HTTP/1.1" from [::1]:52042 - 200 162B in 4.7064ms
2026/06/25 20:35:52 [MattPC/ykTcgFBTZb-000006] "GET http://localhost:8081/api/admin/dashboard HTTP/1.1" from [::1]:52042 - 200 162B in 2.0563ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000007] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:59870 - 200 358B in 6.5779ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000008] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:59870 - 200 358B in 1.5603ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000009] "GET http://localhost:8081/api/judge/groups HTTP/1.1" from [::1]:59870 - 200 5311B in 5.5382ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000010] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 9.0885ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000011] "GET http://localhost:8081/api/judge/projects/c4172a1b-4f08-4e06-9aac-fbbdb97cabcd HTTP/1.1" from [::1]:63254 - 200 8560B in 8.5644ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000014] "GET http://localhost:8081/api/judge/groups HTTP/1.1" from [::1]:57074 - 200 5311B in 4.3137ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000013] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 17.9766ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000015] "GET http://localhost:8081/api/judge/projects/c4172a1b-4f08-4e06-9aac-fbbdb97cabcd HTTP/1.1" from [::1]:59870 - 200 8560B in 5.2902ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000016] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 1.1633ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000012] "GET http://localhost:8081/api/judge/projects/c4172a1b-4f08-4e06-9aac-fbbdb97cabcd/my-vote HTTP/1.1" from [::1]:49548 - 200 17B in 22.4155ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000017] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 7.1232ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000018] "GET http://localhost:8081/api/judge/projects/c4172a1b-4f08-4e06-9aac-fbbdb97cabcd/my-vote HTTP/1.1" from [::1]:49548 - 200 17B in 1.59ms
2026/06/25 20:36:48 [MattPC/ykTcgFBTZb-000019] "GET http://localhost:8081/uploads/img-a9ed7c01d8c162c6.webp HTTP/1.1" from [::1]:52117 - 200 6994B in 0s
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000020] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:49548 - 200 2279B in 2.865ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000021] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 2.865ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000022] "GET http://localhost:8081/api/judge/summary?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:52179 - 200 783B in 3.2348ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000023] "GET http://localhost:8081/api/judge/groups HTTP/1.1" from [::1]:59870 - 200 5311B in 2.8608ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000024] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:49548 - 200 2279B in 1.8164ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000025] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 2.0786ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000026] "GET http://localhost:8081/api/judge/summary?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:52179 - 200 783B in 2.0962ms
2026/06/25 20:36:51 [MattPC/ykTcgFBTZb-000027] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:49548 - 200 2279B in 1.5572ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000028] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:49548 - 200 358B in 2.5159ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000029] "GET http://localhost:8081/api/auth/me HTTP/1.1" from [::1]:49548 - 200 358B in 958.1µs
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000030] "GET http://localhost:8081/api/judge/groups HTTP/1.1" from [::1]:49548 - 200 5311B in 1.2527ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000031] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 2.3552ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000032] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 1.5662ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000033] "GET http://localhost:8081/api/judge/summary?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:59870 - 200 783B in 1.0391ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000034] "GET http://localhost:8081/api/judge/groups HTTP/1.1" from [::1]:57074 - 200 5311B in 2.0681ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000035] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 2.0401ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000036] "GET http://localhost:8081/api/judge/projects?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:55649 - 200 1915B in 2.2136ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000037] "GET http://localhost:8081/api/judge/summary?category_id=7db909a4-2c2f-57ee-8f7c-6ec2508e5888 HTTP/1.1" from [::1]:59870 - 200 783B in 2.2791ms
2026/06/25 20:36:57 [MattPC/ykTcgFBTZb-000038] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 2.6547ms
2026/06/25 20:36:58 [MattPC/ykTcgFBTZb-000039] "GET http://localhost:8081/api/judge/categories?group_id=5206b924-1ef6-57e5-b1ec-e07dc8bda4ab HTTP/1.1" from [::1]:52179 - 200 2279B in 2.7973ms
2026/06/25 20:37:06 [MattPC/ykTcgFBTZb-000041] "GET http://localhost:8081/api/judge/projects/c4172a1b-4f08-4e06-9aac-fbbdb97cabcd/my-vote HTTP/1.1" from [::1]:59870 - 200 17B in 2.3344ms
